Experiment,sex,Type,Genotype,Hierarchy,Mice.chips,Animal,Last.day.Glicko,RunningTime(N.events),RunningTime(min),WalkingTime(N.events),WalkingTime(min),StaticTime(N.events),StaticTime(min),movementTime(min),RunningTimeHighVelocity(N.events),RunningTimeHighVelocity(min),Median/mean.speed.(cm/sec),Median/mean.Aceleration.(cm/sec^2),Distance.traveled.(m),Angular.velocity.(rad/sec),sleepingSumTime(min),hidingSumTime(min),eatingSumTime(min),drinkingSumTime(min),Frequency.visits.the.hiding.boxes.(1/hour),Frequency.visits.outside.sleeping.box.(1/hour),ROI.exploration.(bits/hour),ArenaSumTime(min),CenterTimeAlone(min),InsideZoneTime(min),OutsideZoneTime(min),Chasing (N events),Chasing duration (sec),Being chased (N events),Being chased duration (sec),Chasing.plus.being.chasing.all(N.events),Chasing.plus.being.chasing.duration(sec),Foraging correlation,Distance pairs(cm),Together (N events),Time together(min),Contact snout-head (N events),Contact snout-rear (N events),Contact snout-head (1/min),Contact snout-rear (1/min),Approaching (N events),Approaching duration (sec),Being approached (N events),Being approached duration (sec),Approach.and.being.events,Approach.and.being.duration.sec,Avoiding (N events),Avoiding duration (sec),Avoid.and.being.events,Avoid.plus.being.duration.sec,Being avoided (N events),Being avoided duration (sec),Last.Day.Stability,Overall.Stability,Glicko.per.day.y
Exp58R,male,wild,WT,beta,7945855,23,2326.989,1873,4.872583333,10556,77.17748333,8831,27.89563333,82.05006667,281,0.536616667,4.242803963,34.46523864,554.1318254,2.428785787,92.78138333,30.51661667,3.53305,0.408916667,45.25076675,33.25056341,0.389197434,116.6979333,16.76325,66.21188333,45.49465,3,3.016,3,3.266,6,6.282,0.049758176,41.80680682,568,11.2373,293,295,1.22085402,1.229187495,8,11.109,10,21.922,18,33.031,7,26.185,12,58.342,5,32.157,1,0.78823293,2200
Exp58R,male,wild,WT,epsilon,7949211,23,1955.585,1242,3.148816667,9405,65.14138333,8248,24.85901667,68.2902,196,0.353133333,3.40958619,30.16601851,393.1399352,2.267091222,121.656,18.05096667,4.044366667,0.384083333,33.50056765,23.5003982,0.595968907,100.2889667,12.18198333,53.37606667,41.2731,0,0,5,4.468,5,4.468,0.040193059,40.03253788,479,11.05345,295,293,1.229187495,1.22085402,1,3.438,19,30.575,20,34.013,5,15.093,6,18.062,1,2.969,1,0.923006784,1952.796714
Exp61L,female,wild,WT,beta,0007947d6d,26,2371.109,1381,3.26795,8962,78.217,6824,18.62598333,81.48495,203,0.287583333,3.602392266,37.55962501,465.0406848,2.882518359,12.06816667,31.98733333,1.59815,0.54555,51.25056233,37.00040598,0.141995707,195.9418667,2.76475,81.54391667,46.83196667,2,2.469,1,0.969,3,3.438,0.038742212,52.93633566,659,19.90035,381,394,1.587517419,1.64168468,11,43.125,4,19.577,15,62.702,4,4.47,6,11.689,2,7.219,0.77135531,0.670124625,2323.601643
Exp61L,female,wild,WT,alpha,0007946daf,26,2440.308,1101,2.67915,4358,37.33186667,2876,7.48515,40.01101667,132,0.193016667,5.092915965,53.08700434,293.1446283,3.097975123,105.5043333,13.909,0.901883333,0.71125,31.25034289,72.25079275,0.154587749,120.5840333,0.649683333,67.71906667,19.17901667,0,0,0,0,0,0,0.003121952,45.39810714,471,16.58903333,241,227,1.004177685,0.945843711,9,21.266,9,23.997,18,45.263,0,0,3,3.843,3,3.843,1,0.756775394,2200
Exp61L,female,wild,WT,epsilon,7948757,26,1854.366,769,1.651683333,7053,64.08733333,5722,16.84276667,65.73901667,183,0.265066667,3.673738759,34.99388549,355.6383453,2.408421788,15.23896667,21.35761667,0.853833333,0.081,37.75041421,21.00023042,0.104218895,203.4007833,4.805016667,107.2870667,31.08956667,0,0,0,0,0,0,-0.033838376,56.65363713,411,21.20228333,194,184,0.808342203,0.766675079,6,59.515,13,169.316,19,228.831,0,0,2,2.953,2,2.953,1,0.915709855,2200
Exp61L,female,wild,WT,gamma,7945855,26,2218.994,1047,2.336433333,7247,64.09038333,5769,17.88948333,66.42681667,140,0.2458,4.387984784,39.74027127,403.7295106,2.753445187,84.90541667,24.60438333,0.940233333,0.6297,39.25043066,15.25016733,0.185861106,130.4875667,0.2875,58.50911667,30.65923333,1,0.969,2,2.548,3,3.517,0.00552737,50.50312463,548,13.00935,320,340,1.333347963,1.416682211,8,73.671,9,17.283,17,90.954,5,10.967,5,10.967,0,0,0.758144053,0.610111765,2076.398357
Exp61L,female,wild,WT,delta,00079477ca,26,2032.699,638,1.452333333,3175,29.52126667,2200,6.984066667,30.9736,122,0.177833333,4.362024463,40.69049991,208.6128448,3.020365855,102.8419833,8.866916667,0.668,0.476083333,18.75020573,49.75054587,0.105122519,128.2884667,0.680733333,74.86481667,16.58105,1,1.11,1,1.031,2,2.141,-0.022129703,47.90975845,365,19.60421667,114,109,0.475005212,0.45417165,8,125.363,18,135.892,26,261.255,4,11.562,4,11.562,0,0,1,0.914137877,2200
Exp61R,female,wild,WT,beta,000715d48d,26,2299.033,1824,4.113216667,11164,102.8543833,8874,23.34231667,106.9676,296,0.500283333,3.745462939,40.32441109,618.6088813,2.836298321,24.07086667,22.153,6.771216667,1.994583333,45.00054376,14.75017823,0.176265723,193.7732333,2.5981,110.0657167,46.66686667,1,0.797,2,1.922,3,2.719,0.080804566,54.23878227,765,21.86535,325,312,1.35418303,1.300015709,12,51.735,6,8.469,18,60.204,0,0,1,44.719,1,44.719,1,0.706461099,2100.162231
Exp61R,female,wild,WT,epsilon,7949211,26,2077.06,1996,4.606316667,7609,67.50703333,5178,13.32963333,72.11335,245,0.42515,5.506358934,57.47727369,543.4416226,3.218938521,90.77515,8.876566667,2.500816667,1.284116667,32.75039573,23.00027792,0.136842412,140.3453833,3.63325,67.97653333,29.53773333,3,3.422,3,2.156,6,5.578,0.062056746,47.69744041,685,17.88073333,258,279,1.07501299,1.162514047,16,54.97,9,18.986,25,73.956,4,8.47,7,65.908,3,57.438,1,0.764494341,2200
Exp61R,female,wild,WT,delta,00079481c8,26,2138.304,1418,2.777883333,6744,69.77465,5072,12.75525,72.55253333,194,0.32445,4.481067028,48.35958222,443.4976961,3.148167126,54.08356667,17.53546667,4.050133333,0.046366667,34.7504199,15.25018427,0.14779019,168.3780667,1.7573,89.025,43.39448333,1,0.953,2,2.937,3,3.89,0.012036552,50.90447449,617,25.94921667,222,194,0.925011177,0.808343101,5,5.282,17,116.829,22,122.111,6,125.922,8,130.876,2,4.954,1,0.623265821,2076.398357
