Experiment,sex,Type,Genotype,Hierarchy,Mice.chips,Animal,Last.day.Glicko,RunningTime(N.events),RunningTime(min),WalkingTime(N.events),WalkingTime(min),StaticTime(N.events),StaticTime(min),movementTime(min),RunningTimeHighVelocity(N.events),RunningTimeHighVelocity(min),Median/mean.speed.(cm/sec),Median/mean.Aceleration.(cm/sec^2),Distance.traveled.(m),Angular.velocity.(rad/sec),sleepingSumTime(min),hidingSumTime(min),eatingSumTime(min),drinkingSumTime(min),Frequency.visits.the.hiding.boxes.(1/hour),Frequency.visits.outside.sleeping.box.(1/hour),ROI.exploration.(bits/hour),ArenaSumTime(min),CenterTimeAlone(min),InsideZoneTime(min),OutsideZoneTime(min),Chasing.(N.events),Chasing.duration.(sec),Being.chased.(N.events),Being.chased.duration.(sec),Chasing.plus.being.chasing.all(N.events),Chasing.plus.being.chasing.duration(sec),Foraging.correlation,Distance.pairs(cm),Together.(N.events),Time.together(min),Contact.snout-head.(N.events),Contact.snout-rear.(N.events),Contact.snout-head.(1/min),Contact.snout-rear.(1/min),Approaching.(N.events),Approaching.duration.(sec),Being.approached.(N.events),Being.approached.duration.(sec),Approach.and.being.events,Approach.and.being.duration.sec,Avoiding.(N.events),Avoiding.duration.(sec),Avoid.and.being.events,Avoid.plus.being.duration.sec,Being.avoided.(N.events),Being.avoided.duration.(sec),Last.Day.Stability,Overall.Stability,Glicko.per.day.y
Exp66R,female,wild,WT,alpha,000715a0a0,35,2554.998,1330,3.357488833,9777.833333,67.12450611,8039.166667,23.03747167,70.48199444,95.83333333,0.138858333,3.218196444,32.49089774,396.7502495,2.217690642,129.1578939,8.820108333,2.852497228,2.343197222,42.9763743,25.47509121,0.165413475,116.1867672,11.63252494,70.45694944,24.54439444,5.666666667,5.878,2.5,2.088833333,8.166666667,7.966833333,0.019131299,33.91533109,805,10.61894172,504.6666667,539.3333333,1.986675683,2.122204582,6.5,7.645833333,9,10.565,15.5,18.21083333,5,10.742,9,18.37983333,4,7.637833333,1,0.880052982,2464.044482
Exp66R,female,wild,WT,beta,000794632b,35,2295.149,1331,3.593602722,9148,64.62261111,7360.666667,21.65590278,68.21621333,123.5,0.188569439,4.652417632,39.57786322,413.4384968,2.457264045,125.6523672,9.758166667,2.120711106,3.379144389,31.29100197,25.20287653,0.170143652,118.7542356,14.16385561,65.09425889,26.39557778,3.666666667,3.862333333,3.5,3.065166667,7.166666667,6.9275,0.013409449,34.08607074,829.8333333,9.626808389,514.3333333,537.8333333,2.028300241,2.121014857,5.5,7.310166667,12.83333333,14.6995,18.33333333,22.00966667,5.5,11.07566667,7.666666667,14.83616667,2.166666667,3.7605,1,0.952635614,2344.657103
Exp66R,female,wild,WT,epsilon,7945556,35,1986.544,1932.666667,6.323341722,7533.333333,67.50523333,5288.333333,15.48903889,73.82857556,146,0.209466672,5.711078476,44.50530208,626.7147671,2.476220606,144.2282444,11.16886722,1.387066672,2.207086111,34.34147077,11.41707148,0.184162927,98.76765778,4.783269444,72.90226667,17.44374444,4.333333333,3.492,5.333333333,6.818333333,9.666666667,10.31033333,0.023441591,28.57679024,756.3333333,8.69655,445.5,472.1666667,1.750148693,1.854081751,6.5,8.9685,7.166666667,11.34583333,13.66666667,20.31433333,3.166666667,4.510333333,7,11.23166667,3.833333333,6.721333333,1,0.813631053,2161.56713
Exp66R,female,wild,WT,gamma,7946132,35,2274.223,1265.166667,3.483311056,9685.5,59.901255,8015.666667,23.17815778,63.38456722,119.8333333,0.178252778,3.198584649,31.89841744,366.9143296,2.163720149,127.8016089,13.43598556,1.390847228,2.483116611,36.5558572,27.18006284,0.168582321,112.927175,10.88818611,67.27173611,20.99868611,1.666666667,1.239666667,2.5,1.716333333,4.166666667,2.956,0.023273539,33.26702959,782.5,9.660416667,492.5,515,1.932000935,2.019626427,5.833333333,6.124333333,7.666666667,8.109333333,13.5,14.23366667,4.333333333,5.852,7.166666667,11.37533333,2.833333333,5.523333333,1,0.89252794,1978.234573
Exp66R,female,wild,WT,delta,7948045,35,2063.088,1239.333333,3.480666611,9021.666667,58.33806667,7394.833333,21.880655,61.81873278,115.5,0.1708,3.645657371,34.2428691,371.8899124,2.235813041,133.3100006,11.66495556,1.771377783,2.899588944,36.02899953,18.74645639,0.182250136,109.1898133,9.691972278,64.04745333,21.23180889,1,1.200666667,2.5,1.984,3.5,3.184666667,0.007168688,31.50249422,736.3333333,8.3637445,506.6666667,524.5,1.995849373,2.066384859,4.833333333,6.6425,8.166666667,10.57,13,17.2125,5.5,9.471166667,7.666666667,12.57016667,2.166666667,3.099,1,0.862936312,2048.566929
Exp67L,female,wild,WT,alpha,0006e9dbcd,36,2589.349,1165.166667,2.944383389,10001.83333,66.56997778,8469.5,25.98593,69.51436167,110.8333333,0.171925001,2.803213741,28.64985788,354.8554732,2.140067925,118.7613028,8.738888944,2.136558333,3.242163889,25.60691028,20.03191474,0.180332876,113.370555,14.1240945,68.43986111,28.24636394,5.166666667,3.8615,0.5,0.401166667,5.666666667,4.262666667,0.00581187,33.15121628,644.5,10.98666383,367,370.8333333,1.523715322,1.538749631,7.5,10.748,12.33333333,17.8415,19.83333333,28.5895,6.666666667,16.00533333,8.5,19.30733333,1.833333333,3.302,1,0.913508858,2536.719894
Exp67L,female,wild,WT,epsilon,0007158ef6,36,1996.007,1152,3.046408389,6746.166667,46.87148944,5354.833333,15.59148389,49.91789667,91.83333333,0.136474999,3.385685837,34.36487235,308.0636639,2.385395175,159.2462417,6.2642305,1.338752778,1.803058328,23.7001236,14.92739465,0.210524532,75.36026722,7.489669389,53.31256111,13.02859728,1.666666667,1.218833333,4.333333333,3.371,6,4.589833333,0.025308335,21.43112962,545.6666667,8.934699944,293.6666667,302.5,1.216539088,1.252718136,6.833333333,9.083333333,10.33333333,13.6185,17.16666667,22.70183333,3.166666667,6.603666667,6.333333333,14.03083333,3.166666667,7.427166667,1,0.856629339,2142.848878
Exp67L,female,wild,WT,beta,000715a68a,36,2312.822,1146.166667,3.111933278,8011.5,48.57056167,6519.5,20.08408611,51.68249444,107.1666667,0.168283333,2.96131933,30.56175969,308.1286555,2.328512572,135.8278583,7.285977722,1.395644444,2.665558328,24.24922132,26.28570694,0.176305923,97.75691167,9.4375945,52.50062778,20.62583606,3.5,2.5685,3.333333333,2.528333333,6.833333333,5.096833333,0.018014751,30.3242007,612.3333333,10.28212783,353.8333333,353,1.468707214,1.464571481,7.833333333,10.12733333,10.5,16.95816667,18.33333333,27.0855,4.166666667,10.30166667,7.333333333,17.40866667,3.166666667,7.107,0.795989072,0.82416714,2300.701527
Exp67L,female,wild,WT,gamma,000715d6ff,36,2193.458,1446.666667,4.0891945,8951.166667,56.36098944,7180.833333,21.30969944,60.45018278,105.6666667,0.165247223,3.530594684,33.86684677,386.5591827,2.3104529,134.2846944,5.521461111,1.551661106,3.05149445,21.7359432,25.32717125,0.163199059,101.0645883,17.1288445,64.28364167,18.69583606,1.166666667,0.8415,2.333333333,1.715833333,3.5,2.557333333,0.014719846,30.46757832,578.8333333,9.503355611,343,360.1666667,1.422589604,1.493727604,6.833333333,9.289,11,12.8515,17.83333333,22.1405,3.333333333,8.448166667,6.166666667,15.667,2.833333333,7.218833333,0.805196763,0.929935246,2023.878317
Exp67L,female,wild,WT,delta,0007946e6f,36,2098.694,1066,2.7692805,7503.833333,47.14736944,6144.666667,17.44937278,49.91664944,85.5,0.135425001,3.590961719,36.39600601,276.8599333,2.14823775,146.500125,3.9388945,1.092141672,2.184538894,15.17836259,17.11665033,0.142290624,90.43172556,12.21578889,47.46785556,21.19923894,0.5,0.546833333,1.5,1.020833333,2,1.567666667,0.004587172,28.27836052,516.3333333,8.247658389,290.8333333,291.8333333,1.207476365,1.2118135,5.333333333,7.586333333,5.666666667,6.739,11,14.32533333,4,9.206666667,6.333333333,15.16483333,2.333333333,5.958166667,1,0.818774865,2120.659292
Exp68L,male,wild,WT,epsilon,000715a74e,37,1851.061,1744,7.425869444,10038.33333,63.40333556,8873,40.47065333,70.829205,861.8333333,1.993702783,5.507225835,31.72291124,703.2517513,2.056451365,54.962205,39.76594222,4.988394444,0.251338894,66.80041684,11.00162539,0.240574499,145.2401778,6.086883389,55.48626722,55.17805333,6.833333333,3.568,30.83333333,18.76566667,37.66666667,22.33366667,-0.010276022,56.05302901,437.1666667,3.304658333,127.1666667,120,0.529920163,0.500054332,1.333333333,0.698,4.166666667,4.914166667,5.5,5.612166667,3.333333333,4.432666667,4.5,5.4195,1.166666667,0.986833333,1,0.945736662,1899.329682
Exp68L,male,wild,WT,gamma,000794633b,37,2232.99,1643.5,5.843997278,10513.66667,79.26135778,8967.166667,33.26847556,85.10535556,440.6666667,0.932977778,4.307917671,32.13481096,624.6013719,2.13603564,61.86538667,27.90301667,7.081302778,1.05721945,75.34305922,15.04389699,0.224161219,150.1999217,6.304663833,69.64257778,47.89434389,22.66666667,15.11933333,22.83333333,15.9215,45.5,31.04083333,-0.002768928,49.90438517,616.5,6.459488833,216.8333333,239.6666667,0.903584454,0.998739544,5,7.588666667,3.166666667,2.893,8.166666667,10.48166667,3.333333333,5.158666667,7.833333333,16.002,4.5,10.84333333,0.787589656,0.76124761,2304.553942
Exp68L,male,wild,WT,alpha,00079477ca,37,2725.899,1957.666667,7.407513889,8690.333333,55.57909778,6942.333333,23.08893056,62.98661167,558.1666667,1.172522228,6.061341201,46.72862942,615.3403424,2.199193575,126.2813528,11.80896111,4.674266667,0.828575006,50.8813706,19.16906723,0.209396663,101.8780111,4.355855556,59.49070056,29.08770556,47.66666667,32.577,8.5,5.4215,56.16666667,37.9985,0.008812281,44.38488499,512.8333333,3.9054195,129.5,179.8333333,0.539650293,0.74940059,6.166666667,5.9315,1.833333333,1.888333333,8,7.819833333,2.166666667,3.088333333,7.833333333,11.21133333,5.666666667,8.123,0.755853458,0.901170692,2647.248535
Exp68L,male,wild,WT,delta,7946601,37,1983.429,1623.833333,6.168888944,11561,75.01443278,9911.666667,36.60072444,81.18332222,417.8333333,0.883416672,3.480089933,26.51950307,592.7625771,2.083224212,69.34938556,16.69148833,4.923252778,1.883380561,46.54823255,22.41979089,0.181250886,153.9274494,10.91841667,73.15972278,47.19513278,11.66666667,8.181333333,25.5,19.08266667,37.16666667,27.264,0.00952329,53.06595456,541,5.561213889,233.8333333,216.1666667,0.974446559,0.900823688,1.666666667,2.400833333,12.33333333,16.34133333,14,18.74216667,11.83333333,25.60083333,13.16666667,28.32983333,1.333333333,2.729,0.782771184,0.794154741,2012.211117
Exp68L,male,wild,WT,beta,7948811,37,2280.517,741.3333333,2.402938889,4929.666667,34.85162556,3996.5,12.88292722,37.25456444,97.5,0.176202778,3.739451292,32.37655404,250.3419267,2.13240634,155.8590078,7.126725,3.117405556,0.332555556,21.16870221,17.16913206,0.167582167,76.98259222,1.611430556,33.66988556,17.19781667,7.333333333,5.7845,8.5,6.038833333,15.83333333,11.82333333,0.006503794,36.25998179,344.1666667,4.470975,146.3333333,147.1666667,0.609798355,0.613270121,1.5,2.2215,5,6.808333333,6.5,9.029833333,2.833333333,4.325833333,3.666666667,5.567833333,0.833333333,1.242,0.75,0.825414017,2191.574669
