Experiment,sex,Type,Genotype,Hierarchy,Mice.chips,Animal,Last.day.Glicko,RunningTime(N.events),RunningTime(min),WalkingTime(N.events),WalkingTime(min),StaticTime(N.events),StaticTime(min),movementTime(min),RunningTimeHighVelocity(N.events),RunningTimeHighVelocity(min),Median/mean.speed.(cm/sec),Median/mean.Aceleration.(cm/sec^2),Distance.traveled.(m),Angular.velocity.(rad/sec),sleepingSumTime(min),hidingSumTime(min),eatingSumTime(min),drinkingSumTime(min),Frequency.visits.the.hiding.boxes.(1/hour),Frequency.visits.outside.sleeping.box.(1/hour),ROI.exploration.(bits/hour),ArenaSumTime(min),CenterTimeAlone(min),InsideZoneTime(min),OutsideZoneTime(min),Chasing.(N.events),Chasing.duration.(sec),Being.chased.(N.events),Being.chased.duration.(sec),Chasing.plus.being.chasing.all(N.events),Chasing.plus.being.chasing.duration(sec),Foraging.correlation,Distance.pairs(cm),Together.(N.events),Time.together(min),Contact.snout-head.(N.events),Contact.snout-rear.(N.events),Contact.snout-head.(1/min),Contact.snout-rear.(1/min),Approaching.(N.events),Approaching.duration.(sec),Being.approached.(N.events),Being.approached.duration.(sec),Approach.and.being.events,Approach.and.being.duration.sec,Avoiding.(N.events),Avoiding.duration.(sec),Avoid.and.being.events,Avoid.plus.being.duration.sec,Being.avoided.(N.events),Being.avoided.duration.(sec),Last.Day.Stability,Overall.Stability,Glicko.per.day.y
Exp58L,male,wild,WT,gamma,00079451fd,23,2093.911,995.5,3.555230556,7020.166667,43.89282444,5890.833333,21.068105,47.448055,230.6666667,0.696802778,3.763630191,26.10104917,357.6305053,1.887187141,123.7665528,21.08432222,0.519086106,1.479913894,40.71433887,45.13114965,0.271523515,95.11623,14.56461117,43.85674167,26.34225889,10,11.98216667,14.83333333,21.83516667,24.83333333,33.81733333,0.0120447,35.96092086,322.1666667,3.379866722,151.5,153,0.631342814,0.637595343,1,1.25,4,4.236666667,5,5.486666667,2.5,5.133,3.333333333,7.265666667,0.833333333,2.132666667,1,0.927982099,2077.720751
Exp58L,male,wild,WT,alpha,0007945de2,23,2622.383,916.5,3.352469444,5900.666667,35.80531444,4901.166667,17.14432556,39.15778389,186,0.572247222,5.864043135,36.93801417,323.8887382,1.966623411,155.2710611,9.9513555,0.285830561,1.057624994,25.16976773,48.04814472,0.213713964,74.74468556,10.29341106,36.52303056,21.14276444,18.83333333,25.8395,4.666666667,5.364166667,23.5,31.20366667,0.028652421,33.03489954,234.8333333,2.503663889,106.5,116,0.443810808,0.483397803,2.5,2.588166667,1.333333333,1.465833333,3.833333333,4.054,1,2.349,2.333333333,6.950833333,1.333333333,4.601833333,1,0.905020233,2583.993691
Exp58L,male,wild,WT,beta,0007946e6f,23,2209.136,1066.833333,4.091836167,6849.333333,38.07919778,5834,23.67921722,42.17103278,268.8333333,1.061702778,5.189838936,30.44272106,385.2382073,2.000491521,129.6422222,16.41318894,1.023708339,1.394533328,36.7968452,31.62885517,0.243624548,93.91170333,12.67128894,42.29945556,25.81898833,10.66666667,12.0255,14.33333333,17.84,25,29.8655,0.013610514,37.38426121,309.6666667,2.570063889,115.3333333,113.6666667,0.480628296,0.473683775,1.166666667,0.789,3.166666667,5.4955,4.333333333,6.2845,2.5,7.896166667,3.666666667,9.667,1.166666667,1.770833333,1,0.771306333,2227.013057
Exp58R,male,wild,WT,alpha,00079474dd,23,2432.68,1018.833333,2.324338833,10273.83333,61.71654444,9434.166667,30.27893333,64.04088278,128.6666667,0.207375,2.847977721,23.86155076,315.9327615,2.130868148,112.1737556,15.64836383,8.551561167,1.307772217,19.08561468,23.54436307,0.31801468,112.1470744,14.47422228,62.037325,33.81621944,6.5,9.423,1.666666667,1.797166667,8.166666667,11.22016667,0.0030532,35.99064891,670.3333333,14.68609444,475.1666667,507.5,1.980135156,2.114875489,9.333333333,13.57516667,8.833333333,9.9485,18.16666667,23.52366667,5.166666667,10.35416667,8.166666667,17.14033333,3,6.786166667,1,1,2483.646321
Exp58R,male,wild,WT,gamma,00079477ca,23,2086.384,978.1666667,2.391763889,9014.666667,51.64245889,8127.333333,25.14559944,54.03422278,129.3333333,0.212586112,2.76536473,23.90244946,285.7996551,2.218220394,139.7812722,8.589236111,5.491155611,1.060852772,15.08509997,33.42085171,0.288842242,91.598695,6.415824944,50.35105278,30.17974778,2.5,2.583,3.666666667,5.535166667,6.166666667,8.118166667,0.02492698,29.78725848,710.5,14.59105556,560.8333333,562.8333333,2.337121299,2.345453803,9.333333333,13.2135,8.666666667,9.5625,18,22.776,2.666666667,6.659,6,13.76066667,3.333333333,7.101666667,1,0.801499055,2041.110017
Exp58L,male,wild,WT,delta,00079481c8,23,2071.935,864.1666667,3.111438833,6072.166667,40.43822222,5211,20.99112,43.54966056,232,0.855205611,7.651224726,43.19338467,348.5189853,2.111299979,139.3620806,13.06443889,7.755116667,2.200041661,33.04607174,27.71222022,0.369301507,87.54058389,11.70042778,47.23379167,19.13471444,15.5,24.9795,13.83333333,19.40866667,29.33333333,44.38816667,0.018475568,34.07988763,323.6666667,3.602819444,128.5,159.5,0.535491119,0.664679332,1.5,2.276,1.666666667,1.541333333,3.166666667,3.817333333,0.5,0.637666667,1.666666667,3.663666667,1.166666667,3.026,1,0.687592813,2144.24931
Exp58R,male,wild,WT,beta,7945855,23,2326.989,1463,3.765216611,12817.83333,74.00866611,11474.16667,35.83861167,77.77388389,148.3333333,0.247211112,2.857396676,24.14990648,411.2283278,2.024418893,96.32405278,15.24963617,7.183658389,1.061375006,26.08623655,30.58721134,0.223685333,128.3955056,16.92859728,77.96002778,37.53378556,2.833333333,3.075833333,2.5,3.3565,5.333333333,6.432333333,0.01133967,35.86894602,730.5,14.61866117,481.5,476.3333333,2.006527504,1.984996465,6,7.213166667,12.83333333,16.02683333,18.83333333,23.24,5.333333333,13.31233333,7.833333333,21.04416667,2.5,7.731833333,1,0.78823293,2244.128767
Exp58L,male,wild,WT,epsilon,7946132,23,1997.408,785.8333333,3.008777722,6268.666667,36.94247833,5483.333333,20.64287556,39.95125556,231,0.918472278,4.885691115,29.01813532,319.6887567,1.925205233,141.1358722,14.26808606,1.868369439,1.086391667,26.21223431,40.67196347,0.297676248,84.56314722,11.69588606,41.19743389,21.09514944,8.833333333,12.25216667,16.16666667,22.63083333,25,34.883,0.006351881,36.44858088,231.6666667,2.526475,114.5,116,0.477152596,0.483404774,1,1.440333333,2.166666667,1.507833333,3.166666667,2.948166667,2.666666667,7.005333333,3,7.364666667,0.333333333,0.359333333,1,0.715322139,1944.688202
Exp58R,male,wild,WT,delta,7948811,23,1959.55,668.3333333,1.771241722,5809.333333,33.17408944,5337.166667,17.54548556,34.94533,88.16666667,0.145147223,2.558766292,20.98846958,190.5946108,2.057825364,168.6966278,6.468327722,2.331333333,0.344852783,11.4597137,19.21091013,0.27443439,64.80423833,5.921380556,28.10016333,25.51473833,0.833333333,0.880333333,2.333333333,1.9635,3.166666667,2.843833333,0.012137986,23.59940949,400.6666667,8.427963944,299.5,297.1666667,1.248089957,1.23836463,3.833333333,5.0275,6,9.158666667,9.833333333,14.18616667,2.833333333,5.896333333,3.833333333,7.7085,1,1.812166667,1,0.916873415,2002.430772
Exp58R,male,wild,WT,epsilon,7949211,23,1955.585,1096.666667,2.941850056,11038.16667,63.19464167,10046.16667,30.87113333,66.13649222,128.6666667,0.215808334,2.598485006,23.54126391,330.0459247,2.03525827,117.9490778,12.4404,4.101338944,2.058172222,21.16906623,24.16977137,0.264118904,109.5797172,10.50486667,53.429175,45.15804444,1,0.734333333,3.5,4.044166667,4.5,4.7785,0.022521967,34.41709068,672.3333333,14.75305278,574.3333333,585.1666667,2.393390889,2.438536833,6.166666667,7.763333333,17,27.22,23.16666667,34.98333333,6,11.7075,9,17.29383333,3,5.586333333,1,0.923006784,2025.810515
